#{"t_start": 1764544930.421076, "env_id": "dm_control/cartpole-balance-v0"}
r,l,t
438.647861,1000,0.79111
188.368666,1000,1.483229
329.209375,1000,20.809902
293.735541,1000,21.581504
310.132242,1000,38.631625
372.749044,1000,39.309475
296.897825,1000,58.270967
189.987061,1000,58.955694
387.674713,1000,77.702786
424.548704,1000,78.423413
380.152604,1000,116.980264
379.841193,1000,136.932834
395.555664,1000,175.011321
335.26057,1000,195.086426
355.241248,1000,233.22737
491.134504,1000,253.324772
346.380715,1000,291.785697
516.607202,1000,311.87493
466.150327,1000,350.881878
445.684049,1000,370.863077
416.689027,1000,409.116218
846.845407,1000,429.256496
898.397193,1000,467.360591
803.73428,1000,487.389976
583.879301,1000,525.95127
936.883783,1000,545.947662
968.630087,1000,581.19139
976.774758,1000,593.093467
968.989392,1000,630.488115
746.860339,1000,650.266797
799.020628,1000,688.771191
608.831416,1000,708.923143
935.454657,1000,746.895251
780.656385,1000,764.220218
750.198171,1000,781.01709
880.715527,1000,789.096794
907.178508,1000,807.153836
953.926928,1000,817.596412
948.676603,1000,836.634199
961.217111,1000,846.720581
930.551028,1000,865.911348
934.717417,1000,876.114205
948.936729,1000,894.66653
935.874489,1000,904.905505
955.848828,1000,924.161082
948.648649,1000,934.507197
946.92387,1000,953.529896
946.094623,1000,963.65887
952.42577,1000,982.839926
966.338454,1000,993.230617
966.843504,1000,1012.419555
957.231864,1000,1022.620671
959.886072,1000,1043.415018
961.113019,1000,1053.587207
970.833859,1000,1072.767267
954.50153,1000,1082.952562
959.68244,1000,1102.593044
975.25475,1000,1112.651103
954.616351,1000,1131.717484
964.393219,1000,1141.761046
964.200164,1000,1160.571216
972.8305,1000,1170.954384
953.489645,1000,1190.41663
955.074198,1000,1200.422689
955.736374,1000,1219.445086
950.293973,1000,1229.675728
932.08656,1000,1249.194677
954.331709,1000,1259.571032
946.452617,1000,1278.844121
946.772472,1000,1289.12154
941.472704,1000,1307.413425
939.534443,1000,1315.65753
932.75818,1000,1331.752424
930.030726,1000,1340.065325
938.789255,1000,1371.094591
928.096598,1000,1387.156028
902.441915,1000,1416.663826
922.847396,1000,1432.993895
925.561448,1000,1462.916803
920.481512,1000,1482.01845
